Grado;Curso;Asignatura;Profesor;Cuatrimestre;Rama;Tarde;Duracion;Dias a la Semana;Preferencia Hora;Preferencia Dia;Coincidir
Ingenieria Electronica;3;Electromagnetismo II;Patricia Lazpita;1;No;No;1;4;2 4;1 3 4;No
Ingenieria Electronica;3;Electronica Digital;Ines Juliana del Campo;1;No;No;1;4;7 10;2 3 4 5;No
Ingenieria Electronica;3;Se¤ales y Sistemas;Santiago Alonso;1;No;No;1;4;7 9;1 3 4;No
Ingenieria Electronica;3;Tecnicas Actuales de Programacion ;German Bordel;1;No;No;1;4;1 2;2 3 4;No
Ingenieria Electronica;3;Arquitectura de Computadores;German Bordel;2;No;No;1;4;2 4;2 3 4;No
Ingenieria Electronica;3;Circuitos Lineales y no Lineales;Javier Echanove;2;No;No;1;4;2 3 4;4 5;No
Ingenieria Electronica;3;Control Automatico I;Ibone Lizarraga;2;No;No;1;4;3;1 2 3 4 5;No
Ingenieria Electronica;3;Electronica Analogica;Maria Victoria Martinez;2;No;No;1;4;2;2 3 4 5;No
Ingenieria Electronica;3;Instrumentacion I;Joaquin Portilla;2;No;No;1;4;1;1 2 3 4;No
Ingenieria Electronica;4;Empresa y Proyectos;Iker Caballero;1;No;No;1;5;1 2 3 4;2 3 4 5;No
Ingenieria Electronica;Optativa;Fisica Cuantica;I¤igo Etxebarria ;1;No;No;1;4;4 5;3;No
Ingenieria Electronica;Optativa;Fisica Cuantica;Cesar Luis Folcia;2;No;No;1;4;1 2 3;1;No
Ingenieria Electronica;Optativa;Termodinamica y Fisica Estadistica;Jose Miguel Campillo;1;Fisica;No;1;4;1 2 3;2;No
Ingenieria Electronica;Optativa;Termodinamica y Fisica Estadistica;Hegoi Manzano;2;Fisica;No;1;4;1 2 3;0;No
Ingenieria Electronica;Optativa;Comunicaci¢n Cientifico-tecnica en Euskera;Gontzal Aldai;1;;Si;2;2;2 3 4;2 3 4 5;No
Ingenieria Electronica;Optativa;Comunicaci¢n Cientifico-tecnica Oral en Euskera;Gontzal Aldai;2;;Si;2;2;0;0;No
Ingenieria Electronica;Optativa;Instrumentacion II;Joaquin Portilla;1;Instrumentacion y Control;No;1;4;7 9;3;No
Ingenieria Electronica;Optativa;Dise¤o de Sistemas Digitales;Ines Juliana del Campo;1;Sistemas Electronicos de Proposito General;No;1;4;10;0;No
Ingenieria Electronica;Optativa;Microelectronica y Microsistemas;Alfredo Garcia;1;Sistemas Electronicos de Proposito General;No;1;4;0;5;No
Ingenieria Electronica;Optativa;Sensores y Actuadores;Alfredo Garcia;1;Instrumentacion y Control;No;1;4;4 5;3;No
Ingenieria Electronica;Optativa;Sistemas de Alta Frecuencia;Joaquin Portilla;1;Sistemas Electronicos de Proposito General;No;1;4;1 2 3;1;No
Ingenieria Electronica;Optativa;Optica;Jose Angel Garcia;1;Fisica;No;1;4;2 4;1 3 4;No
Ingenieria Electronica;Optativa;Control Automatico II;Ibon Sagastabeitia;2;Instrumentacion y Control;No;1;4;7 10;2 3 4 5;No
Ingenieria Electronica;Optativa;Electronica de Comunicaciones;Juan Maria Collantes;2;Sistemas Electronicos de Proposito General;No;1;4;7 9;1 3 4;No
